timestamp,motor.m1,motor.m2,motor.m3,motor.m4
823585,45291.0,48983.0,46337.0,48126.0
823635,49237.0,47044.0,48997.0,43048.0
823685,50562.0,42834.0,51567.0,42352.0
823735,48442.0,46247.0,49622.0,43900.0
823785,49524.0,45024.0,50067.0,43692.0
823835,48688.0,45789.0,49591.0,43993.0
823885,45147.0,48781.0,45527.0,48780.0
823935,49233.0,45838.0,49421.0,43658.0
823985,50585.0,44103.0,50723.0,41888.0
824035,48716.0,45109.0,49754.0,43068.0
824085,51986.0,41503.0,52230.0,40540.0
824135,49339.0,45634.0,50768.0,43444.0
824185,50160.0,45335.0,50468.0,44050.0
824235,50138.0,43988.0,50468.0,45202.0
824285,49797.0,45053.0,50824.0,44136.0
824335,49799.0,45465.0,50672.0,43430.0
824385,50083.0,45067.0,50270.0,43662.0
824435,49772.0,45197.0,50650.0,43588.0
824485,50406.0,44851.0,50142.0,43985.0
824535,50123.0,45409.0,50371.0,43374.0
824586,50219.0,45706.0,50312.0,42940.0
824635,50760.0,44566.0,50004.0,44183.0
824686,50039.0,44515.0,50737.0,43894.0
824735,50161.0,46162.0,50192.0,42934.0
824786,53157.0,42682.0,52950.0,39889.0
824835,52004.0,45865.0,50374.0,43929.0
824886,50399.0,45363.0,52539.0,44984.0
824935,51831.0,45528.0,51267.0,44499.0
824986,51760.0,45350.0,50985.0,43946.0
825035,50253.0,45473.0,51791.0,43330.0
825085,50625.0,45605.0,51000.0,42627.0
825135,50343.0,44656.0,50520.0,42454.0
825185,50754.0,44272.0,49667.0,42214.0
825235,50417.0,44240.0,49631.0,42308.0
825285,46896.0,47566.0,47234.0,45817.0
825335,49826.0,44290.0,50533.0,43010.0
825385,50485.0,44280.0,50307.0,43143.0
825435,50105.0,44615.0,50517.0,42708.0
825485,50578.0,44888.0,49497.0,41527.0
825535,50458.0,44807.0,50736.0,42627.0
825585,51809.0,45938.0,50827.0,43299.0
825635,52253.0,45698.0,51353.0,44884.0
825685,51570.0,45883.0,52307.0,44741.0
825735,51498.0,46862.0,51879.0,43527.0
825785,50790.0,43976.0,51219.0,43648.0
825835,51318.0,44585.0,50352.0,43148.0
825885,50116.0,44130.0,51764.0,43883.0
825935,50618.0,43750.0,51202.0,44401.0
825985,53990.0,40450.0,53817.0,38458.0
826035,50561.0,44678.0,51330.0,43258.0
826085,48768.0,46759.0,48680.0,44408.0
826135,50580.0,44512.0,50612.0,42538.0
826185,54113.0,40056.0,53993.0,38134.0
826235,51210.0,44731.0,51527.0,43107.0
826285,52269.0,43014.0,52179.0,42945.0
826335,50922.0,43424.0,50972.0,42220.0
826385,48868.0,46843.0,48457.0,45365.0
826435,51732.0,44545.0,51761.0,42441.0
826485,49376.0,46859.0,50192.0,45512.0
826535,51610.0,43765.0,52086.0,43211.0
826585,49204.0,46569.0,49896.0,45147.0
826635,50957.0,43644.0,52298.0,42170.0
826685,54119.0,39469.0,53781.0,37852.0
826735,50638.0,42466.0,51847.0,41065.0
826785,51043.0,44414.0,49709.0,42320.0
826835,51281.0,42766.0,52328.0,41357.0
826885,51510.0,43548.0,52408.0,40934.0
826935,55370.0,36143.0,56001.0,32918.0
826985,52013.0,42935.0,52759.0,41201.0
827035,51716.0,43581.0,53809.0,41083.0
827085,52821.0,42401.0,53334.0,42337.0
827135,52580.0,43357.0,53062.0,41835.0
827185,52268.0,46340.0,53254.0,42852.0
827235,52393.0,46327.0,53897.0,42291.0
827285,52558.0,43560.0,53962.0,43963.0
827335,52825.0,44787.0,53039.0,41777.0
827385,52231.0,44620.0,52861.0,41431.0
827435,52254.0,44463.0,52547.0,41229.0
827485,52232.0,44028.0,52243.0,41451.0
827535,51892.0,43328.0,52021.0,41137.0
827585,51425.0,42925.0,52259.0,41344.0
827635,45709.0,42474.0,54189.0,45298.0
827685,50260.0,46019.0,49277.0,42575.0
827735,46868.0,43451.0,49122.0,40133.0
827785,48903.0,42185.0,48726.0,41470.0
827835,50443.0,44547.0,49799.0,42100.0
827885,51224.0,46098.0,51871.0,44032.0
827935,50209.0,49116.0,49526.0,48550.0
827985,52896.0,45942.0,52299.0,45609.0
828035,53119.0,46529.0,53136.0,45057.0
828085,51002.0,45749.0,52991.0,41342.0
828135,50947.0,43637.0,52067.0,41788.0
828185,50968.0,43752.0,51770.0,40750.0
828235,50301.0,45070.0,50574.0,43161.0
828285,51421.0,44028.0,52075.0,42774.0
828335,51047.0,44025.0,51600.0,42449.0
828385,51192.0,44953.0,51636.0,41532.0
828435,46243.0,46454.0,54445.0,43116.0
828485,50909.0,47635.0,50531.0,46247.0
828535,56698.0,41128.0,51630.0,44076.0
828585,55294.0,45238.0,52339.0,42014.0
828635,58834.0,36498.0,53875.0,34690.0
828685,36234.0,46053.0,60965.0,35600.0
828735,18115.0,45930.0,61291.0,43293.0
828785,30642.0,49460.0,57498.0,47121.0
828835,51454.0,42065.0,44427.0,55409.0
828885,59761.0,45116.0,41630.0,46549.0
828935,43607.0,51305.0,57387.0,43686.0
828985,50452.0,47705.0,51582.0,44166.0
829035,53501.0,42719.0,45100.0,47460.0
829085,42281.0,47440.0,54221.0,41099.0
829135,46750.0,46355.0,51409.0,43618.0
829185,51187.0,43258.0,47181.0,47131.0
829235,47057.0,48020.0,52923.0,43653.0
829285,50785.0,48021.0,50780.0,45027.0
829335,52250.0,46795.0,52046.0,48447.0
829385,51580.0,48405.0,52926.0,46693.0
829435,53130.0,46440.0,51568.0,46887.0
829485,53428.0,45969.0,51353.0,45687.0
829535,54504.0,47800.0,50667.0,43135.0
829585,53545.0,46103.0,52066.0,44119.0
829635,53887.0,43850.0,51936.0,44803.0
829685,54040.0,46690.0,51967.0,41351.0
829735,52809.0,45095.0,52010.0,40830.0
829785,52576.0,42980.0,51945.0,42341.0
829835,52728.0,43180.0,51884.0,41373.0
829885,53007.0,44068.0,52119.0,40139.0
829935,52708.0,43336.0,52500.0,40915.0
829985,52571.0,42524.0,52775.0,42056.0
830035,52200.0,42269.0,52728.0,41812.0
830085,52958.0,44849.0,51963.0,37875.0
