timestamp,motor.m1,motor.m2,motor.m3,motor.m4
704106,49465.0,46814.0,50892.0,45162.0
704156,50793.0,46900.0,50288.0,45020.0
704207,49289.0,45995.0,51007.0,44541.0
704256,48370.0,45133.0,51188.0,43987.0
704306,49434.0,45134.0,49877.0,42997.0
704356,49079.0,44703.0,48990.0,42169.0
704406,47370.0,43731.0,49859.0,41775.0
704456,47057.0,43610.0,49534.0,41422.0
704507,48467.0,42753.0,48602.0,41035.0
704556,47837.0,43547.0,48294.0,41855.0
704606,47458.0,44868.0,50020.0,43491.0
704656,47709.0,44906.0,50112.0,42698.0
704706,49555.0,44433.0,49794.0,42812.0
704757,48751.0,45058.0,49784.0,43906.0
704806,48316.0,45175.0,51338.0,43678.0
704857,48792.0,45617.0,50640.0,43123.0
704906,49392.0,45010.0,49478.0,42774.0
704956,48212.0,43957.0,50089.0,42738.0
705007,47659.0,43968.0,50524.0,42020.0
705060,49283.0,44547.0,49974.0,41568.0
705106,49083.0,43937.0,50184.0,41754.0
705157,47771.0,43319.0,50886.0,41906.0
705207,48662.0,43351.0,50731.0,41766.0
705257,49437.0,44487.0,49611.0,42052.0
705306,49499.0,45433.0,50396.0,43524.0
705356,48034.0,44888.0,51586.0,43526.0
705407,48611.0,44774.0,50804.0,43430.0
705456,49059.0,45135.0,49821.0,43519.0
705509,48642.0,45665.0,50758.0,44146.0
705556,48490.0,46175.0,51213.0,44525.0
705607,48440.0,45483.0,49589.0,43124.0
705656,48809.0,44832.0,48853.0,43659.0
705712,46967.0,45292.0,49676.0,43796.0
705762,47330.0,45509.0,50174.0,42544.0
705809,49685.0,45875.0,48859.0,43334.0
705861,49780.0,46191.0,49416.0,45022.0
705912,47367.0,46421.0,50734.0,44992.0
705957,48290.0,46527.0,50188.0,44201.0
706013,49794.0,46684.0,48617.0,44951.0
706056,48318.0,46115.0,49387.0,45437.0
706111,47130.0,46848.0,50847.0,45841.0
706157,49177.0,47055.0,50414.0,44860.0
706210,50242.0,46921.0,49459.0,44904.0
706256,47785.0,45081.0,49835.0,44134.0
706311,47764.0,44553.0,49950.0,44668.0
706357,48777.0,45569.0,49015.0,43509.0
706407,49437.0,45894.0,48605.0,42544.0
706457,47775.0,44764.0,50091.0,43509.0
706506,47028.0,44225.0,51084.0,44287.0
706557,49576.0,45052.0,49361.0,43059.0
706606,48856.0,44722.0,48099.0,41424.0
706657,46613.0,43971.0,48820.0,42954.0
706706,46314.0,43261.0,49502.0,42937.0
706757,48523.0,44603.0,48163.0,43167.0
706807,49459.0,47200.0,49149.0,44689.0
706856,48498.0,47737.0,52171.0,45522.0
706907,49448.0,46655.0,52063.0,46172.0
706957,51293.0,46324.0,49817.0,45980.0
707007,49616.0,47045.0,50074.0,45303.0
707057,47277.0,46620.0,51688.0,44207.0
707107,48099.0,44102.0,50011.0,42510.0
707156,49684.0,44345.0,47110.0,43828.0
707206,46933.0,44810.0,48117.0,42122.0
707256,44975.0,45007.0,50136.0,41085.0
707306,48402.0,44817.0,48372.0,42530.0
707356,49980.0,45528.0,47319.0,44817.0
707406,46830.0,46963.0,49182.0,45264.0
707457,46942.0,47963.0,49923.0,45095.0
707507,50123.0,47913.0,48000.0,45967.0
707556,42222.0,55109.0,39069.0,53083.0
707607,31507.0,57300.0,39640.0,55732.0
707656,24129.0,58176.0,33102.0,57177.0
707706,0.0,58947.0,29075.0,58947.0
707756,0.0,59033.0,41597.0,59039.0
707807,33878.0,51014.0,48088.0,51916.0
707856,27994.0,38105.0,59132.0,37028.0
707907,31952.0,46590.0,58580.0,39026.0
707957,60558.0,47807.0,18202.0,42416.0
708006,58947.0,37888.0,0.0,47069.0
708056,58854.0,47072.0,40085.0,52441.0
708107,26564.0,61254.0,61447.0,57103.0
708157,27619.0,56597.0,61048.0,42816.0
