Timestamp,stateEstimateZ.x,stateEstimateZ.y,stateEstimateZ.z,stateEstimateZ.vx,stateEstimateZ.vy,stateEstimateZ.vz,stateEstimateZ.qw,stateEstimateZ.qx,stateEstimateZ.qy,stateEstimateZ.qz,stateEstimateZ.rateRoll,stateEstimateZ.ratePitch,stateEstimateZ.rateYaw
1032745,1012,5,397,91,-21,-84,0.006918853044878155,-0.008302623653853786,0.017989017916683205,0.9997797713233646,-361,278,175
1032795,1016,4,394,77,-23,-18,-0.005535082435902524,-0.012453935480780678,0.022140329743610097,0.9996619769463639,-541,-348,162
1032846,1020,3,395,67,-9,63,-0.01660524730770757,-0.002767541217951262,0.02629164157053699,0.99951255923124,-15,-194,116
1032896,990,8,445,-114,21,358,-0.01383770608975631,-0.012453935480780678,0.03321049461541514,0.9992749773854109,269,184,120
1032949,984,9,464,-129,27,409,-0.009686394262829417,-0.01383770608975631,0.04151311826926893,0.9989951714937967,15,-443,135
1032995,981,10,479,-113,30,377,-0.011070164871805049,0.002767541217951262,0.049815741923122714,0.9986932381977796,-271,-1037,56
1033045,979,12,493,-66,45,289,-0.020756559134634464,0.030442953397463883,0.05396705375004961,0.9978626904293343,-345,-551,2
1033095,988,23,498,28,96,159,-0.02905918278848825,0.0401293476602933,0.05119951253209835,0.9974586754690642,124,440,17
1033147,993,30,499,77,131,50,-0.019372788525658834,0.02767541217951262,0.047048200705171454,0.9983212075458681,805,487,68
1033195,1001,38,494,108,146,-38,0.001383770608975631,0.020756559134634464,0.04566443009619582,0.9987402115944776,437,48,23
1033245,1004,45,496,113,140,-34,0.001383770608975631,0.019372788525658834,0.044280659487220195,0.998830317641099,-524,191,29
1033295,1008,51,501,120,137,6,-0.009686394262829417,0.011070164871805049,0.044280659487220195,0.9989108310611478,-678,839,36
1033345,1015,58,502,121,154,11,-0.0401293476602933,-0.023524100352585727,0.044280659487220195,0.997935606817563,-2125,1816,112
1033395,1014,66,513,35,203,64,-0.09271263080136728,-0.07057230105775718,0.04289688887824456,0.9922619489519238,-1750,796,168
1033452,1014,83,514,-58,327,8,-0.11485296054497737,-0.06780475983980593,0.037361806442342035,0.9903612509667798,417,-1124,36
1033496,1011,93,514,-95,389,-12,-0.10655033689112359,-0.05119951253209835,0.03597803583336641,0.9923362416854665,408,-415,-34
1033551,1001,118,518,-162,497,-23,-0.10378279567317232,-0.05119951253209835,0.037361806442342035,0.9925783780931867,-743,1309,70
1033596,992,147,512,-224,599,-80,-0.12038804298087989,-0.0844100071475135,0.04289688887824456,0.9882011570146829,-199,436,144
1033645,980,178,504,-302,706,-143,-0.11346918993600175,-0.07749115410263534,0.04289688887824456,0.9895856309060256,1373,-1594,4
1033695,968,208,496,-338,773,-175,-0.08302623653853786,-0.03874557705131767,0.04289688887824456,0.994869479494559,1211,-1134,-112
1033746,943,251,497,-399,830,-87,-0.05535082435902524,-0.022140329743610097,0.047048200705171454,0.997112109470157,15,898,-17
1033796,927,292,485,-391,869,-120,-0.05258328314107398,-0.04151311826926893,0.044280659487220195,0.99677022554902,538,144,90
1033845,907,340,474,-423,913,-129,-0.02767541217951262,-0.024907870961561357,0.044280659487220195,0.9983250436206803,1549,-1588,-55
1033895,883,380,478,-463,916,-45,0.002767541217951262,-0.001383770608975631,0.04566443009619582,0.9989520437531014,426,971,-151
1033945,863,418,478,-448,850,-14,0.006918853044878155,-0.05535082435902524,0.04289688887824456,0.9975210637574964,-1024,3771,79
1033996,837,463,478,-551,849,0,-0.01383770608975631,-0.1383770608975631,0.044280659487220195,0.9892924391214675,-53,937,237
1034046,804,507,478,-703,853,11,0.001383770608975631,-0.12038804298087989,0.049815741923122714,0.9914752624966416,1357,-2648,-79
1034095,772,544,479,-789,840,19,0.022140329743610097,-0.06365344801287903,0.049815741923122714,0.9964820300494961,278,-1318,-230
1034146,739,577,474,-828,811,5,0.023524100352585727,-0.05396705375004961,0.044280659487220195,0.9972830074795808,-604,2065,-22
1034196,692,609,485,-895,714,58,0.01660524730770757,-0.10931787810907485,0.04289688887824456,0.992941954100111,212,771,154
1034246,646,643,490,-1025,709,86,0.024907870961561357,-0.10101525445522107,0.05258328314107398,0.993182014872206,792,-2826,-50
1034296,594,675,492,-1056,624,66,0.0401293476602933,-0.01660524730770757,0.0581183655769765,0.997364605749006,-219,-2476,-201
1034345,558,700,497,-1000,587,78,0.030442953397463883,0.022140329743610097,0.05396705375004961,0.997832946688384,-582,725,-121
1034396,500,735,501,-978,566,72,0.022140329743610097,-0.008302623653853786,0.049815741923122714,0.9984784745280969,467,1164,67
1034445,452,763,503,-977,526,54,0.044280659487220195,-0.022140329743610097,0.05119951253209835,0.9974605951668951,1251,-104,-50
1034495,405,785,508,-1006,472,63,0.07057230105775718,-0.023524100352585727,0.05119951253209835,0.9959140409405273,629,843,-73
1034545,353,808,512,-1032,401,47,0.07887492471161096,-0.05258328314107398,0.04843197131414709,0.9943179012471157,-418,1439,62
1034595,306,824,508,-1064,324,-13,0.07195607166673282,-0.07749115410263534,0.04843197131414709,0.9932128618482341,124,-130,73
1034646,250,839,507,-1135,248,-30,0.07887492471161096,-0.06226967740390339,0.05119951253209835,0.9936195667579353,558,-1271,-84
1034695,206,852,515,-1147,204,12,0.08579377775648912,-0.03597803583336641,0.04843197131414709,0.994484465836681,-282,-145,-80
1034745,148,861,502,-1148,115,-67,0.07472361288468407,-0.03597803583336641,0.049815741923122714,0.995309175317741,-686,485,24
1034795,81,868,501,-1207,60,-60,0.05950213618595213,-0.04151311826926893,0.05119951253209835,0.9960495804513677,162,-935,4
1034845,34,872,503,-1195,15,-27,0.06503721862185466,-0.011070164871805049,0.05258328314107398,0.9964349501988325,249,-1798,-92
1034895,-35,871,508,-1195,-55,26,0.060885906794927766,0.030442953397463883,0.049815741923122714,0.9964359110343465,-831,-398,-47
1034946,-92,869,510,-1135,-95,30,0.03597803583336641,0.031826724006439516,0.049815741923122714,0.997602642555261,-727,388,17
1034996,-151,863,512,-1104,-126,32,0.031826724006439516,0.02767541217951262,0.05119951253209835,0.9977974449336837,1389,-362,4
1035045,-195,859,527,-1063,-145,113,0.07195607166673282,0.037361806442342035,0.049815741923122714,0.9954621092870918,2872,181,-92
1035095,-248,850,534,-1009,-238,91,0.13699329028858748,0.02767541217951262,0.047048200705171454,0.9890669222995008,753,1311,70
